,title,year,rating,IMDB_rating,votes,metascore,countries,languages,actors,tagline,genres,imdb_url,director,budget_in_dollars,opening_week_us_in_dollars,gross_usa_in_dollars,world_wide_box_office_in_dollars,num_genres,num_languages,num_countries
31,Cape Fear,1991,R,7.3,160358,73,['USA'],['English'],"['Robert De Niro', 'Nick Nolte', 'Jessica Lange', 'Juliette Lewis', 'Joe Don Baker', 'Robert Mitchum', 'Gregory Peck', 'Martin Balsam', 'Illeana Douglas', 'Fred Dalton Thompson', 'Zully Montero', 'Craig Henne', 'Forest Burton', 'Edgar Allan Poe IV', 'Rod Ball']",The Bowden family has moved to New Essex.,"[' Crime', ' Thriller']",https://www.imdb.com/title/tt0101540/,Martin Scorsese,35000000,10261025,79091969,182291969,2,1,1
32,Schindler's List,1993,R,8.9,1139086,94,['USA'],"['English', 'Hebrew', 'German', 'Polish']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser']","Whoever saves one life, saves the world entire.","[' Biography', ' Drama', ' History']",https://www.imdb.com/title/tt0108052/,Steven Spielberg,22000000,656636,96898818,322243445,3,4,1
33,Saving Private Ryan,1998,R,8.6,1156781,91,['USA'],"['English', 'French', 'German', 'Czech']","['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg', 'Vin Diesel', 'Giovanni Ribisi', 'Jeremy Davies', 'Matt Damon', 'Ted Danson', 'Paul Giamatti', 'Dennis Farina', 'Joerg Stadler', 'Max Martini', 'Dylan Bruno']","In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.","[' Drama', ' War']",https://www.imdb.com/title/tt0120815/,Steven Spielberg,70000000,30576104,217049603,482349603,2,4,1
34,The Adventures of Tintin,2011,PG,7.3,207389,68,"['USA', 'New Zealand', 'UK']",['English'],"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Nick Frost', 'Simon Pegg', 'Daniel Mays', 'Gad Elmaleh', 'Toby Jones', 'Joe Starr', 'Enn Reitel', 'Mackenzie Crook', 'Tony Curran', 'Sonje Fortag', 'Cary Elwes', 'Phillip Rhys']","This year, discover how far adventure will take you.","[' Animation', ' Action', ' Adventure', ' Family', ' Mystery']",https://www.imdb.com/title/tt0983193/,Steven Spielberg,135000000,9720993,77591831,373993951,5,1,3
35,War Horse,2011,PG-13,7.2,140130,72,"['USA', 'India']","['English', 'German']","['Jeremy Irvine', 'Peter Mullan', 'Emily Watson', 'Niels Arestrup', 'David Thewlis', 'Tom Hiddleston', 'Benedict Cumberbatch', 'Celine Buckens', 'Toby Kebbell', 'Patrick Kennedy', 'Leonard Carow', 'David Kross', 'Matt Milne', 'Robert Emms', 'Eddie Marsan']",Separated by war. Tested by battle. Bound by friendship.,"[' Action', ' Adventure', ' Drama', ' History', ' War']",https://www.imdb.com/title/tt1568911/,Steven Spielberg,66000000,7515402,79884879,177584879,5,2,2
36,Bridge of Spies,2015,PG-13,7.6,271412,81,"['Germany', 'India', 'USA']","['English', 'German', 'Russian']","['Mark Rylance', 'Domenick Lombardozzi', 'Victor Verhaeghe', 'Mark Fichera', 'Brian Hutchison', 'Tom Hanks', 'Joshua Harto', 'Henny Russell', 'Rebekah Brockman', 'Alan Alda', 'John Rue', 'Billy Magnussen', 'Amy Ryan', 'Jillian Lebling', 'Noah Schnapp']",In a world on the brink the difference between war and peace was one honest man.,"[' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt3682448/,Steven Spielberg,40000000,15371203,72313754,165478348,3,3,3
37,The Post,2017,PG-13,7.2,118298,83,"['USA', 'UK']",['English'],"['Meryl Streep', 'Tom Hanks', 'Sarah Paulson', 'Bob Odenkirk', 'Tracy Letts', 'Bradley Whitford', 'Bruce Greenwood', 'Matthew Rhys', 'Alison Brie', 'Carrie Coon', 'Jesse Plemons', 'David Cross', 'Zach Woods', 'Pat Healy', 'John Rue']",Truth be told,"[' Biography', ' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt6294822/,Steven Spielberg,50000000,526011,81903458,179769457,4,1,2
38,Hugo,2011,PG,7.5,291509,83,"['UK', 'USA', 'France']",['English'],"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone', 'Emily Mortimer', 'Christopher Lee', 'Helen McCrory', 'Michael Stuhlbarg', 'Frances de la Tour', 'Richard Griffiths', 'Jude Law', 'Kevin Eldon', 'Gulliver McGrath', 'Shaun Aylward']",Discover the Key to the Mystery.,"[' Drama', ' Family', ' Fantasy', ' Mystery']",https://www.imdb.com/title/tt0970179/,Martin Scorsese,150000000,11364505,73864507,185770160,4,1,3
39,The Wolf of Wall Street,2013,R,8.2,1083912,75,['USA'],"['English', 'French']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne']",More is never enough,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0993846/,Martin Scorsese,100000000,18361578,116900694,392000694,3,2,1
40,Goodfellas,1990,R,8.7,948385,90,['USA'],"['English', 'Italian']","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese']",Murderers come with smiles.,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0099685/,Martin Scorsese,25000000,6368901,46836214,46879633,3,2,1
